param,scale,rmse_all,rmse_gps,rmse_flow
R_gps_vN,0.001,8.23975392633209,2.76490350140994,27.169632599443
R_gps_vN,0.05,8.06409115794309,2.6756942772684,26.6244562224032
R_gps_vN,0.25,3.89290527868223,2.18747342221297,11.4246197601221
R_gps_vN,0.5,2.00012508843661,1.99056336601345,2.10357399302394
R_gps_vN,1,2.29115400067027,1.89064945395653,4.88698603711063
R_gps_vN,2,2.68032533195881,1.85181957254483,6.9970832078509
R_gps_vN,3,3.24084625169848,1.8433174255727,9.46320943631487
R_gps_vE,0.001,13.6459998039449,2.10526810960431,46.9958491012913
R_gps_vE,0.05,3.90244774173885,2.02659615131697,11.788400440334
R_gps_vE,0.25,3.76309246038511,1.89912716364713,11.4708691415371
R_gps_vE,0.5,3.59732477597663,1.86248915579609,10.8774829622939
R_gps_vE,1,3.24084625169848,1.8433174255727,9.46320943631487
R_gps_vE,2,19.2273043694348,1.89730109524135,66.6528180342783
R_gps_vE,3,18.6788860219293,1.88834533015459,64.7372080147583
R_gps_vD,0.001,2.94140520557178,0.815022454466675,9.8750956275467
R_gps_vD,0.05,3.69291959460566,1.07909654303564,12.3453488352448
R_gps_vD,0.25,19.3425388551397,1.75687377328191,67.0984321642836
R_gps_vD,0.5,20.2207093882918,1.87703011996459,70.132870948689
R_gps_vD,1,3.24084625169848,1.8433174255727,9.46320943631487
R_gps_vD,2,3.36805234684881,1.87054962821044,9.93080606221481
R_gps_vD,3,2.47220829689536,1.8770785724009,5.90836754023176
R_gps_pN,0.001,6.75532288590896,0.762001491670261,23.3854093274616
R_gps_pN,0.05,2.23342343895819,0.789628209142534,7.31758534304652
R_gps_pN,0.25,4.04435712978903,0.786851680455139,13.8363882846727
R_gps_pN,0.5,4.33406069209389,0.796168172817295,14.856417508844
R_gps_pN,1,2.94140520557178,0.815022454466675,9.8750956275467
R_gps_pN,2,7.51100256197689,0.907090453639697,25.9789305234357
R_gps_pN,3,6.7353789726754,0.96071443819507,23.2337340813922
R_gps_pE,0.001,20.7123899660207,0.875401125595025,72.0647511084175
R_gps_pE,0.05,8.63134484706393,0.855467229903235,29.9199810981649
R_gps_pE,0.25,17.9816374924165,0.886120352652752,62.5451628656496
R_gps_pE,0.5,9.0380999620746,0.908852624217826,31.3257820424532
R_gps_pE,1,6.75532288590896,0.762001491670261,23.3854093274616
R_gps_pE,2,9.01448231505532,1.72229279703691,30.8597352135032
R_gps_pE,3,10.4555253030379,1.089533640039,36.2259966285262
R_flow_vX,0.001,2.18150660712313,0.819458924272572,7.08757841123741
R_flow_vX,0.05,1.76451967370612,0.707398124213974,5.67323798603007
R_flow_vX,0.25,3.60640927730533,0.840847261543804,12.2409099083109
R_flow_vX,0.5,5.08092834528914,0.835128105415153,17.4719540558132
R_flow_vX,1,6.75532288590896,0.762001491670261,23.3854093274616
R_flow_vX,2,7.33357410571421,0.748995207898136,25.4141904537444
R_flow_vX,3,8.08524867051865,0.807918415477111,28.0248747610709
R_flow_vY,0.001,1.88769918971456,0.749849122244136,6.07884607557578
R_flow_vY,0.05,1.83057861286358,0.904915036985434,5.61447076807818
R_flow_vY,0.25,1.80111203608906,0.916108958974082,5.47703479020026
R_flow_vY,0.5,1.75974726666255,0.732009445536411,5.62028126715116
R_flow_vY,1,1.76451967370612,0.707398124213974,5.67323798603007
R_flow_vY,2,1.76663934563484,0.689562090746027,5.70557544480044
R_flow_vY,3,1.81071863211588,0.778979676863039,5.74497173686273
